dish,ingredients,tools,satiety,mood,strength,required_skill
Тако с рыбой,"Хлеб; Рыбный фарш; Сыр; Овощи",Огонь,30,30,-10,3
Буррито,"Хлеб; Варёный рис; Мясной фарш; Овощи; Сыр",Огонь,50,50,-15,
Поке,"Варёный рис; Сыр; Овощи; Лосось",,70,50,-15,4
Мальма в сливочном соусе,"Мальма; Овощи; Молоко",Огонь,75,75,-13,5
Мясо по-французски,"Мясо; Овощи; Сыр",Огонь,60,40,-15,5
Оливье,"Мясо; Овощи; Яйца; Вода","Нож; Огонь",60,50,-25,5
Сашими из фугу,Фугу,Нож,20,60,0,
Сашими из лосося,Лосось,Нож,10,30,,4
Сашими из тунца,Тунец,Нож,10,30,,4
Глинтвейн,"Вино; Сахар; Фрукты",Огонь,,,,
